tcell_activation_GO.0042110	cd4tcell_exhaustion_crawford	tcell_costimulation_chen	cell_anergy_safford	cell_senescence_fridman	tfh_signature_locci	cell_cycling_best	cell_cytotoxicity_patil	treg_signature_simone	tfr_signature_guo	tcell_activation_flu	cd8_activation_covid19	tcr_signaling_RHSA202403	tcell_interleukin_seumois	treg_signature_schmiedle	th2_signature0_arlehamn	th1_signature1_arlehamn	th17_signature2_arlehamndan	type1n2_interferon_broadreact	th2_il9_micosse	trm_lung_clarke	nontrm_lung_clarke	trm_tumor_clarke	nontrm_tumor_clarke	cluster5_sctrm_clarke	cluster2_sctrm_clarke	cluster3_sctrm_clarke	cluster4_sctrm_clarke	dixhaust_consensus1_vj	dixhaust_consensus2_vj	tcell_cytotoxicity_guo	tcell_virusresponse_fuchs	temra_signature1_pereira	temra_signature2_pereira	temra_signature6_pereira	hallmarkglycolisis_signature_gsea	glycolysisgluconeo_signature_kegggsea	early_eff_late_mem_v_key_best	g0n1_signature_dolatabadi	hallmark_g2m_checkpoint	hallmark_glycolysis	hallmark_interferon_gamma_response	hallmark_oxidative_phosphorylation	hallmark_reactive_oxigen_species	initial_cytokine_or_eff_resp_i_key_best	late_eff_or_mem_x_key_best	late_mem_specific_best	mem_precursor_vii_key_best	mem_specific_6_best	naive_late_mem_iv_key_best	naive_or_late_eff_or_mem_viii_key_best	naive_tcm_tem_eff	reactome_interferon_gamma_signaling_biw	short_term_eff_mem_vi_key_best	short_term_eff_or_mem_ix_key_best	st_ifng_biw
SOCS5	STK3		IER3	IRF5	MAF	CCNB1	ERBB2	PTTG1		NOLC1	SLC25A3	HLA-DPB1	NFKBIZ	FAM46C	PTPRN2	CCNB1	ADAM12	DDX58	IL5RA	MTRNR2L9	DNAJB1	CD7	SPINT2	IDS	RNF19A	HSPD1		ICOS	ICOS		NAMPT	CFL1	SH3BGRL3	MYO1F	CHST4	LDHA		E2F1	CKS1B	CHST4	DHX58	BCKDHA	SBNO2									IRF9			
SPINK5	EIF2AK2		ING4	IRF7	FABP5L2	DLGAP5	CD8A	IL1R2		NOP16	KIF2A	PSMB5	CD48	HLA-DQA1	EGR3	GNGT2	ALDOC	NUB1	CCL2	CXCR6	CXCR2	DBH-AS1	LYZ	DDX3X	KRT81	RGS2		FAM3C	FAM3C		BTG3	CD8A	IFITM2	PROK2	CHST6	LDHAL6A		PA2G4	CKS2	CHST6	EIF2AK2	BDH2	SCAF4									JAK1			
THY1	LRRK2		IRF4	ISG15	ID3	F630043A04RIK	MATK	AC079610.1		NR4A1	CDK4	PSMA8	PUS1	CSF1	IL6R	APBA2	BAD	IFIT2	CCL7	OXNAD1	CMC1	TMIGD2	NUAK2	SYTL3	RP11-279F6.3	DNAJB1		PTPN11	PTPN11		RPA3	LSP1	EIF1	CD63	CITED2	LDHAL6B		HIST1H2AE	CTCF	CITED2	EIF4E3	BRP44L	SELS									JAK2			
ZAP70	TLR7		ISYNA1	MAP1LC3B	TRIB1	ESCO2	CCL3	AC017002.1		ODC1	EWSR1	BTRC	BATF3	ACTA2	SELL	SLAMF7	RORC	ADAR	FCER1A	LOC100129434	KIR3DL2	SIRPG	PTGDR	RP11-138A9.2	TNS3			CKS2	CKS2		FDPS	FLNA	HLA-DPA1	ZNF683	CLDN3	LDHB		E2F4	CUL1	CLDN3	EPSTI1	CASP7	SOD1									LOC441019			
CD58	GNA13		JAK3	MAP2K3	BTLA	C330027C09RIK	FCRL6	CASQ1		PDIA6	IMP4	CD101	PSMD7	SDC4	COTL1	ZNF844	FURIN	PSME2	LCN2	PGLYRP2	RIPK2	DOCK5	SOCS3	FAM46C	MAST4			GALM	GALM		MIR155HG	EFHD2	HLA-DQA2	S100A11	CLDN9	LDHC		YWHAZ	CUL3	CLDN9	FAS	COX10	SOD2									LOC646981			
CLEC1	SPRED1		JARID2	MDM2	C14ORF145	UHRF1	TTC16	SLC41A1		PGAM1	ERH	LCP2	MAP2K4	ATP1B1	NOP14-AS1	RASGEF1B	MAF	LAMP3	SCIN	EZH2	LITAF	CXCR6	KLRAP1	CRIP1	LAYN			SNX9	SNX9		NUTF2	CD3D	APMAP	BHLHE40	CLN6	PCK1		ERBB2	CUL4A	CLN6	FCGR1A	COX11	SRXN1									MT2A			
HLADRA	CASK		JUP	MMP1	SLC9A9	CCNF	PLEK	RRAGB		PIM3	LRRFIP1	PSMA3	PSMD6	FLVCR2	FXYD5	COL6A2	SYT11	TNFSF10	IL17R	PELO	ITGAM	CCL3	SVIL	ELF1	TNFRSF18			IRF4	IRF4		SNRPE	HOPX	FCRL6	HLA-A	COG2	PCK2		PCNA	CUL5	COG2	FGL2	COX15	STK25									NCAM1			
HLADRB1	SH2D1A		KCNJ11	NDN	CAV1	KIF20A	PTGDS	RP11-214O1.2		PKM	SEPW1	FBXW11	DUSP4	NCF4	SEC14L2	ENPP4	GADD45GIP1	NMI	RP11	SRSF2	SPON2	KIF2C	TTN-AS1	AHNAK	VCAM1			STMN1	STMN1		TUBA1B	DSTN	HOPX	FLNA	COL5A1	PDHA1		POLR2B	DBF4	COL5A1	FPR1	COX17	TXN									OAS1			
SLAMF1	ARL5B		KCNK5	NME2	SH2D1A	CDCA5	S1PR5	BCL2L1		PRDX1	PRF1	UBE2D2	UBB	TRIB1	SARDH	SYNM	CKS2	UBE2L6	SH3TC1	ELOVL5	EOMES	CD101	PRSS23	HIST1H4C	AHI1			PRDM1	PRDM1		ZBED2	IL32	RGS1	HLA-DRB5	COPB2	PDHA2		ID1	DDX39A	COPB2	FTSJD2	COX4I1	TXNRD1									OAS2			
HLADPA1	RND3		KCNQ5	NRG1	SH3TC1	KIF11	TYROBP	C4orf33		RAN	NIFK	UBE2D1	PTPN11	SPATS2L	CASZ1	CEBPB	HN1	APOL6	IRX5	EGR1	ABHD11	PAQR4	CD28	SDCBP	ACP5			CD2BP2	CD2BP2		NHP2	C12orf75	IER2	CRIP1	CTH	PDHB		ANK3	DKC1	CTH	GBP4	COX5A	TXNRD2									OAS3			
HLADPB1	DEPDC1A		KIF15	OPTN	MAGEH1	CEP55	OSBPL5	CX3CR1		RBM8A	ATP6V0B	RIPK2	PSMC2	SLC1A5	RAB30	CDCA7L	HRH4	PSME1	RGL1	ATP8B4	RAB12	XCL1	ABCA1	RPLP0	TNFRSF9			RAB27A	RAB27A		TOMM5	IFITM2	CD63	LYAR	CXCR4	PFKL		NOTCH3	DMD	CXCR4	GBP6	COX5B										OASL			
	OXSR1		KIFC3	PEA15	ST8SIA1	ARHGAP19	FCGR3B	LINC00884		REL	TXNDC17	PSMD10	PSMB1	CSF2RB	ARHGAP21	CTSW	NDUFB7	LAP3	EFCAB8	RGS1	SH2D1B	CAPG	ITGA5	ARL4A	RAB27A			DUSP4	DUSP4			MYL12A	ID2	CD6	CYB5A	PFKM		RBL2	DR1	CYB5A	GCH1	COX6A1										PIAS1			
	NTRK3		LAG3	RAB13	IKZF3	BUB1B	SLAMF7	HAP1		RGCC	CHMP2A	BCL10	SMARCA4	TNFRSF8	ATP6V0A1	TSHZ1	NDUFA13	GBP4	FAAHP1	GPR25	RCBTB2	WBP4	SATB1	GPR65	SLA			PHLDA1	PHLDA1			MYL12B	PRF1	TAGLN2	DCN	PFKP		GADD45A	DTYMK	DCN	GPR18	COX6B1										PML			
	TANK		LDHB	RAB31	HS.570988	CASC5	TGFBR3	CTLA4		RNF19A	PUF60	PIK3CB	HSP90B1	STAM	INF2	CMC1	PFKFB3	STAT2	NRP3	SMURF2	ASCL2	IVNS1ABP	DENND4A	H3F3B	ITGAE			ITM2A	ITM2A			YWHAQ	LSP1	PPIA	DDIT4	PGAM1		VIM	E2F1	DDIT4	GZMA	COX6C										PRKCD			
	GPR141		LPAR4	RAB5B	IGFBP4	RAD51	LILRB1	MIR4435-2HG		RPL22L1	BUD31	PSMD2	PSMC4	IL7	HRH2	ENG	PLEKHG1	B2M	TLR6	LOC101927374	SNAP23	ADAM19	BAZ2B	IRF1	CRTAM			IFI35	IFI35			MYL6	TTC38	TPST2	DEPDC1	PGAM2		SNAI2	E2F2	DEPDC1	HERC6	COX7A2										PTAFR			
	SPRY2		LRRC3	RABGGTA	NMB	NUSAP1	TRGC1	ZBED2		SLAMF1	ELOVL1	PSME1	IL1R1	STX1A	KLF7	RBM11	PPP1R14B	IRF1	STARD8	KIAA0825	ZNF559	CTLA4	COL6A2	RSL24D1	CTLA4			ISG15	ISG15			PLEK	ZFP36	COL6A2	DLD	PGAM4		MKI67	E2F3	DLD	HIF1A	COX7A2L										PTPN1			
	CAMK2D		2-Mar	RAC1	TBC1D4	TPX2	F2R	REEP2		SLC1A5	SERBP1	PSMD3	IL23A	CTNNAL1	CSGALNACT1	MCTP2	DUS3L	IFITM3	ANPEP	LARP1	FAM65B	CLIC3	PXN	EIF1	CCL3			STAT3	STAT3			UCP2	CLIC1	CD320	DPYSL4	PGK1		CCNA2	E2F4	DPYSL4	HLA-A	COX7B										PTPN2			
	LPXN		MMD	RBL2	TRIM8	MASTL	CD244	SSTR3		SLC3A2	ECHS1	PAK1	FURIN	DCP1B	ZBTB16	YARS	EZH2	PSMB8	CCL17	CISH	ARHGAP25	IFITM10	CRIP2	JMJD1C	IFNG			WARS	WARS			ANXA1	UBC	HLA-DQA2	DSC2	PGK2		CCNB2	EFNA5	DSC2	HLA-B	COX7C										PTPN6			
	ABI2		MPZL2	RGL2	CCDC50	SPC25	C1orf21	RFX5		SLC7A5	CCT4	PTEN	HSPA9	DUSP10	CCND1	ATP10A	OSBPL1A	PNPT1	GPR55	SLC35D2	LOC100130872	GEM	AMY2B	VAMP2	CYSLTR1			SYNGR2	SYNGR2			CES1	FCGR3A	C1orf21	ECD	PGM1		CCNE2	EGF	ECD	HLA-DMA	COX8A										SOCS1			
	IFI44		MYH14	RHOB	MYH10	ARHGAP11A	RASSF4	BCL2		SRGN	NDUFS6	PTPN22	IL18R1	C15orf53	ASPH	IFI27	RORA	HLA-C	PALLD	LOC100130093	CYBB	RAD51AP1	FAM84B	YWHAZ	HLA-A			GBP2	GBP2			HLA-DPB1	XCL2	RORA	EFNA3	PGM2		SNAI1	ESPL1	EFNA3	HLA-DQA1	CPT1A										SOCS3			
	OAS1G		MYL7	RRAS	PTPN11	BUB1	BZRAP1	GNG8		TNF	GARS	MALT1	PSMC1	SLC1A4	CADM1	CHI3L2	FLNA	MT2A	ADGRB2	FAM129A	PZP	KIFC1	HHLA3	HOPX	RGS13			LYST	LYST			ZNF683	MT2A	NDUFB7	EGFR	PKLR		TWSIT1	EWSR1	EGFR	HLA-DRB1	CS										SP100			
	IFITM3		MYO1C	S100A11	BLR1	HIST2H3C1	SLC27A3	PLCL1		TNFRSF18	DCXR	PSMB8	CCND2	DUSP4	NET1	LAIR1	SETD7	GBP5	SNED1	ITM2C	PRR5L	PTMS	ADRB2	FOSL2	IL26			BST2	BST2			GAPDH	GAPDH	PRSS23	EGLN3	PKM		H2AFJ	EXO1	EGLN3	HLA-G	CYB5A										STAT1			
	OASL2		MYO1E	SERPINB2	FAM46C	HIST2H3B	ENC1	BFSP2		TNFRSF4	CAP1	HLA-DQA1	FAS	OAS1	NRIP3	UBE2E3	SYNGR3	IRF9	STRP2	ZFAS1	LINC00612	UBASH3B	THEM4	PIK3R1	IL17A			PARK7	PARK7			TTC38	SERTAD1	HLA-DQA1	ELF3	TPI1		FST	EZH2	ELF3	ICAM1	CYB5R3										SUMO1			
	ISG20		NDRG1	SERPINE1	C8ORF13	CENPE	SETBP1	FAM184A		TNFRSF9	RAN	PSMD5	GADD45B	MGST2	ANKRD18A	KCNQ5	IMP4	IFITM2	PTGDR2	HIST1H2BK	RASGRP2	NUSAP1	PDLIM1	EML4	MYO1E			SARDH				TMSB10	HLA-DQB1	OSR2	ENO1			HMGA2v2	FANCC	ENO1	IDO1	CYC1										VCAM1			
	IFIH1		NFATC1	SMPD1	ITM2A	DEPDC1A	USP28	TBC1D8		TNFSF14	SREBF2	GRAP2	PSMD8	SGMS1	MFHAS1	F2R	MLLT4	SAMHD1	SCAMP5	MALT1	ADD3	TPX2	CDHR3	BTG1	TNFSF4			UBE2C				IFNG	CTSC	ZEB2	ENO2			NANOG	FBXO5	ENO2	IFI27	CYCS													
	IIGP1		NOTCH1	SMURF2	FABP5	ECT2	CX3CR1	PITPNM2		TNFSF8	TNFAIP8	SKP1	LCP1	GPR55	DIP2B	DCBLD1	TBXAS1	HLA-A	CCL22	RAPGEF6	TTC39B	AURKA	WDTC1	CD55	AFAP1L2			NDC80				CHST12	HLA-E	RP11-81H14.2	ERO1A			CEBPB	FOXN3	ERO1L	IFI30	DECR1													
	IFRD1		NR4A2	SOD1	SPSB1	CCNA2	SH3RF2	HACD1			LAMTOR5	HLA-DRB1	PTRH2	HLA-DPA1	RGS12	GPR160	MRPL34	TAP1		TM9SF3	ZNF44	KIF5C	PLEKHG3	YBX3	AGFG1			TK1				ZEB2	CD3D	KLF3	EXT1			ABHH3	G3BP1	EXT1	IFI35	DLAT													
	MX2		NR4A3	SPARC	ODC1	CKS1B	RGS9	CHST2			CD151	HLA-DRB5	AHR	CTTNBP2NL	ACVR2A	SMAGP	NPDC1	CXCL10		MCF2L2	TTC38	VDR	AASS	PDE4B	CSGALNACT1			DTL				DBI	CALM1	HLA-DRA	EXT2			ACTB	GINS2	EXT2	IFI44	DLD													
	IFIT3		OAZ3	STAT1	MERTK	CCNE2	PROK2	DNAH8			SDF2L1	TRAF6	PSMA4	MPST	IFNGR2	S100PBP	XRCC3	TRIM25		XCL1	FCMR	SYNJ2	IL18BP	NFE2L2	CBLB			CDC45				HCST	PLEK	MATK	FAM162A			DDIT3	GSPT1	FAM162A	IFI44L	DLST													
	MX1		PFKP	TES	FBLN7	STIL	ABI3	LPAL2			GPATCH4	CD3D	PSMB5	CIITA	TRIM62	ZBTB49	ZFYVE28	RTP4		MIR155HG	MORC2-AS1	ATP10A	RGS12	KLRC1	PDCD1			FGL2				SYNGR1	AOAH	ITGAM	FBP2			CDCA3	H2AFV	FBP2	IFIH1	ECH1													
	AIM2		PLA2G10	TFAP2A	SERTAD2	CLSPN	ZNF683	RP11-493L12.5			KLRD1	PSMD4	PSMB6	NINJ2	ARMCX4	PDE9A	TOR1A	TMEM140		HNRNPD	CCR7	ANKRD35	CD14	RNF125	CLECL1			DFNB31				LITAF	ARPC5L	CD2	FKBP4			DDIT3	H2AFX	FKBP4	IFIT1	ECHS1													
	IFI27L2A		RCBTB1	TGFB1I1	TOX	STMN1	LAIR2	MEOX1			C19orf70	PDPK1	UBC	CEP55	DCLRE1B	SIPA1	NBEAL2	PML		LINC00504	DOK2	KLRC3	PATL2	RPS20	ARID5B			RAD51AP1				SCP2	LITAF	GSTP1	FUT8			MDM1	H2AFZ	FUT8	IFIT2	ECI1													
	IFI205		RNF19A	THBS1	CORO1B	HMGB2	ARHGAP26	ZNF280C			MDH2	PSMC4	PPAP2A	FUT7	DRG2	GZMA	GPR15	TRIM38		SHOX	RIN2	SCCPDH	BMPR1B	MT-ND1	ARL3			IKZF2				S100A11	LYST	PFN1	G6PD			SERPINB2	HIF1A	G6PD	IFIT3	ETFA													
	IFITM6		S100A5	TNFAIP2	SCD	RAD54L	IFNG	TRAF3			SUPT4H1	PSME3	BATF	AHRR	MORC2	SNTB1	LRP12	TRIM21		PDE4D	RASA3	KIAA0101	CCL18	LYAR	SNX9			ASF1B				CD2	ITM2A	MT-CO1	GAL3ST1			ND1	HIRA	GAL3ST1	IFITM2	ETFB													
	ISG15		SFRP4	TNFAIP3	SHISA2	KIF2C	PLOD1	SLC9A1			PSMB7	HLA-DRA	DENND5A	HDAC9	CENPF	TYMS	SBF1	ZBP1		ORMDL2	MPI	CHN1	ZNF514	AC016831.7	NR3C1			TBC1D4				ARL6IP5	PPP1CA	GTF3C1	GALE			CDC25A	HIST1H2BK	GALE	IFITM3	ETFDH													
	CTLA4		SLC29A3	TP53	RAB27A	CDCA8	FADS1	SIRPB3P			ANXA11	VASP	PNP	HLA-DMB	GAB2	USP28	RNH1	DHX58		LDHA	SIRT2	GTSE1	C1QC	CCNL1	PRDM1			PON2				PPP1CA	MYO1F	AKNA	GALK1				HMGA1	GALK1	IFNAR2	FDX1													
	TIGIT		SOCS4	TSPYL5	FAM167A	TACC3	ZEB2	HS3ST3B1			DDX21	CHUK	CDC42	SLC29A1	CERS6	PTPRM	ARHGAP31	TAPBP		SFMBT2	LILRB1	TTC24	LOC100996286	RPS5	ICOS			TACC3				CD63	CD8A	AHNAK	GALK2				HMGB3	GALK2	IL10RA	FH													
	LILRB4		SRGN	VIM	STX11	NCAPG	AKR1C3	SLC12A6			PGAM1	PSME4	IL1R2	TOX	SIL1	CCR5	LINC00341	PARP12		UGDH-AS1	SWSAP1	ZC3H12C	C1orf162	SVIP	MIR155HG			CLSPN				SLC9A3R1	RHOC	TGFBR3	GAPDHS				HMGN2	GAPDHS	IL15	FXN													
	PDCD1		STX11		LRRC1	KNTC1	ADAP1	CTB-12A17.2			HIGD1A	PSMB1	HIF1A	STAC	ITPRIPL1	BPGM	CD58	LGALS3BP		IVNS1ABP	NUPR1	SARDH	APOE	RPS3A	CD7			TNFSF9				CD247	HLA-DRA	MT-CO2	GCLC				HMMR	GCLC	IL15RA	GLUD1													
	LAG3		TEKT2		PTTG1	MAD2L1	CCL5	ATP13A3			CTLA4	PSMC1	SOCS2	CPNE2	TPCN2	E2F3	SSBP4	GBP3		CDK6	NUAK2	ZBED2	PTP4A3	RPL9	PTPN22			CHN2				CLIC3	TIGIT	MYL12B	GFPT1				HN1	GFPT1	IL18BP	GOT2													
	PDCD1LG2		TINAG		CD200	CDCA3	COLGALT2	AC011997.1			CCDC167	PSMA5	PPP2R1B	VDR	ZDHHC23	PLAC8	MCF2L2	ELF1		CEP350	KLF7	DPF3	RAP1GAP2	PDCD4	CALR			CENPN				CD3G	FGR	IL32	GLCE				HNRNPD	GLCE	IL2RB	GPI													
	CD274		TNFRSF19		KIAA0101	PRC1	C12orf75	MYL6B			PIM3	PSMD12	PSMC6	ANKS1B	DMWD	LAMP3	CAPG	ZNFX1		CXCR3	ACTN1	ARHGEF12	PLAUR	FAM177A1	ID2			TYMS				FCRL6	S100A4	LSP1	GLRX				HNRNPU	GLRX	IL4R	GPX4													
	CD200		TNFRSF4		HS.571502	PLK1	SAMD3	ADPRH			PSMA4	NFKB1	TRAF1	RASGRP4	TOM1	PLSCR1	MYO18A	GBP2		GPM6A	CUTC	CHEK1	CST3	SBDS	PRF1			CENPH				ID2	GSTP1	MYL6	GMPPA				HOXC10	GMPPA	IL6	GRPEL1													
	HAVCR2		TNFSF11		LIMS1	E2F8	C1orf177	TBC1D4			TUBA4A	UBE2N	IL13	CDKN2A	NINJ2	GBP5	SPSB1	IRF2		SKIL	GIMAP4	SLC2A8	NAV1	SNRPG	TOX			GMNN				CTSC	ACTG1	APOBEC3G	GMPPB				HSPA8	GMPPB	IL7	HADHA													
	TNFRSF4		TNFSF9		SLC7A5	MKI67	CLIC3	CD80			GPR137B	PSMD1	DCPS	FAIM2	TNFRSF11A	GBP4	FUT7	CD38		TANC2	LPAR6	PLAGL1	SGK1	TUBA1B	GZMB			ITGA1				H3F3A	SUB1	TSPAN2	GNE				HUS1	GNE	IRF1	HADHB													
	ICOS		TP53RK		PON2	ASF1B	SBK1	ZBTB32			CCT7	PSMB4	ICAM1	ADPRH	NLRP2	FAM49A	TYMP	RBCK1		CPNE7	LDLRAP1	LILRP2	KLF2	VPS37B	ZEB2			IRF9				CX3CR1	EFHD2	TXN	GNPDA1				ILF3	GNPDA1	IRF2	HCCS													
	CD80		ZFP36L1		FKBP5	SHCBP1	ST8SIA6	SOCS2			PSMD14	TAB2	RAP1B	CD80	TPCN1	41886	TRIM59	TRIM14		PCNX	FAM49A	UAP1L1	ST8SIA1	CDC42SE2	PAG1			ARNT				HLA-E	DUSP1	H3F3A	GOT1				INCENP	GOT1	IRF4	HSD17B10													
	TNFSF9		ZNF629		LOC642956	NEIL3	GZMA	GTF3C6			RHOG	PSMC6	PSMA5	ZBTB20-AS1	LYPD3	LRRC16B	AMPD2	MYD88		PHF14	ILF3-AS1	XCL2	PIAS2	RPL17	KLRD1			TRAF5				CALR	IFNG	ANXA5	GOT2				KATNA1	GOT2	IRF5	HSPA9													
	TNFSF4				NAB1	TTK	TRGV8	ERI1			MIEN1	PSMC5	IRF8	CCR3	POLR1A	LPAR3	CLDND1	NCOA3		COTL1	GIMAP7	FANCI	PLEKHA5	PARP8	CLEC2D			IRF8				NDUFB7	DOK2	CD8A	GPC1				KIF11	GPC1	IRF7	HTRA2													
	CD86				C16ORF75	KIF15	SH2D1B	CMTM6			POMP	PSMD7	NKIRAS2	IL12A	SORL1	C1orf177	CAMTA1	CNP		RNF44	ARHGEF1	CDT1	TYROBP	STAT4	HLA-DRB5			LRMP				PROK2	ZEB2	CLIC1	GPC3				KIF15	GPC3	IRF8	IDH1													
	TNFSF11				PFKFB3	ANLN	PRR5L	SGPP1			PTMS	HLA-DQB1	SNRPA1	CCR10	PRC1	ATP9A	EVC2	CXCL11		OTUD5	CTSO	TNFSF4	TRIM16	TAGLN2	ITM2A			CDKN1A				MYO1G	MATK	PATL2	GPC4				KIF20B	GPC4	IRF9	IDH2													
	NKG7				DUSP6	KIF23	KLRG1	AC145110.1			ACTR3	PAK2	CCR4	CARD17	FAM169A	DKK3	VPS37C	TRAFD1		KIF5C	ASB6	ABAT	SLC18A2	KDM6B	DUSP4			CADM1				PATL2	GPR56	LDHA	GPR87				KIF22	GPR87	ISG15	IDH3A													
	CYSLTR2				AIM2	CCNB2	GAB3	KAT2B			GNG5	PSMC2	IL12RB1	LRG1	GALT	RCAN2	CORO1B	LYSMD2		PCBP1	NT5E	AHI1		CSRNP1				SMC2				UBB	PLAC8	SERF2	GUSB				KIF23	GUSB	ISG20	IDH3B													
	LY96				GADD45G	KIF4	PPP2R2B	SLC9A7			GLRX3	PSMD6	FASLG	PLEKHG1	SLFN11	LGR6	C11orf49	MOV10		B4GALT5	PUS3	ASB2		SERPINB9				HLA-DQA1				S1PR5	DDX5	C10orf128	GYS1				KIF2C	GYS1	ISOC1	IDH3G													
	NRP1				COL6A3	CENPI	PIK3AP1	SLC16A1			CDC37	PSMB6	HUWE1	GEM	ATXN7L1	OR1F2P	MAPK11	CASP1		PERP	CHMP6	DBN1		MT-ND2				TNIP3				ANKRD28	RPS4Y1	MSN	GYS2				KIF4A	GYS2	ITGB7	IMMT													
	GP49A				HS.390407	SGOL2	SLC2A8	CD38			SRSF3	UBB	PSMD12	PAQR4	TECPR1	MIR31HG	MARS	CASP4		CCDC144B	SRSF8	PTGIS		MT-CO3				CMTM7				MIAT	SERF2	APMAP	HAX1				KIF5B	HAX1	JAK2	ISCA1													
	GPM6B				FAM179A	CENPL	CHST12	CCDC141			HSPE1	PSMD8	IL17A	ATP1A3	CPA5	RUSC2	NEDD4L	HLA-F		RAC1	BIN2	DFNB31		RPL14				SLC7A5				GSTP1	RAC2	HCST	HDLBP				KPNA2	HDLBP	KLRK1	ISCU													
	SLAMF7				PHGDH	EXO1	C17orf66	ADCY3			APOBEC3C	PSMA4	PSMB4	UTS2	GMNN	OR2L1P	RELT	OGFR		RPS6KA3	PTRH1	ABCB1		HNRNPUL1				KIF22				TBX21	PTPN7	CFL1	HK2				KPNB1	HK2	LAP3	LDHA													
	TMPRSS11E				NUDT7	NSL1	SCD5	PDE4A			TNFSF14	UBC	UBE2N	BFSP2	FANCI	ALOXE3	SDC4	CD274		DUSP4	ZNF18	ATP10D		SKIL				SLC43A3				SLC1A7	TUBA4A	BLOC1S1	HMMR				LBR	HMMR	LATS2	LDHB													
	CHSY1				RNF19A	HMGB3	ADRB2	PIM2			NDUFB6	PSMD14	HK2	BASP1	SH3PXD2A	SH3RF3	MRPL41	SOCS1		RPL5	PARP3	GCNT1		EIF1AX				APLP2				S100A10	SH2D1A	ARPC2	HOMER1				LIG3	HOMER1	LCP2	LRPPRC													
	PTGER2				DUSP2	CKS2	GPR141	GRK3			HSD17B10	PSMD11	IRF1	KHDC1	TADA2A	GAB1	HPGD	NLRC5		DEGS1	C16orf89	SPNS3		PERP				CASP3				TNFRSF1B	MIR142	MT-ND5	HS2ST1				LMNB1	HS2ST1	LGALS3BP	MAOB													
	CD63				PAQR4	PRIM2	APMAP	FCRL3			DGUOK	PSMA1	SOD1	CD101	PDE8A	ANKRD36BP2	A1BG	JAK1		LRP1	MTPAP	RUNX2		DNAJB9				NUCB2							HS6ST2				MAD2L1	HS6ST2	LY6E	MDH1													
	NAP1L3				PPP1CC	BARD1	MXRA7	EPHB1			RBM8A	PSMB3	PHTF2	SPSB1	CHERP	EPB41L3	RNF166	IFI27		FRMD4B	TSPAN32	KLRB1		TSC22D2				DTX3L							HSPA5				MAPK14	HSPA5	LYSMD2	MDH2													
	TOX				CDKL2	PASK	ITGAM	RP11-603B24.1			MANF	PSMA2	IFNGR2	CDKL4	MARCKSL1	PDGFD	CDC42BPB	CD74		DDX60	RASSF4	LINC00963		CCND3				SEC14L1							IDH1				MARCKS	IDH1	MARCH1	MFN2													
	H2AFZ				SLC25A46	MCM6	AC004840.9	DSCAML1			KPNA2	NFKBIA	IL21	SLCO4A1	USP36	DTHD1	BCAT2	GCH1		TMPRSS3	AKR1C3	AMICA1		FRMD4B				PMAIP1							IDUA				MCM2	IDUA	METTL7B	MGST3													
	H1F0				CARHSP1	RNPEP	OASL	IL17REL			COX20	PSMA6	IL17F	CHRNA6	UBXN7	SCNN1A	DENND3	IL15RA		ARHGAP35	KIR3DL1	CAMK1		RP11-138A9.1				PTTG1							IER3				MCM3	IER3	MT2A	MRPL11													
	KLRC1				HES6	SCYL3	CEP78	UTS2			COA4	PSMA7	PELI1	TSHR	CD200R1	GPR114	MAP1S	PSMA3		SPATS2L	UBE2F	ANKS1B		ATP2B1				GLRX							IGFBP3				MCM5	IGFBP3	MTHFD2	MRPL15													
	PLK2				H1F0	CENPF	AOAH	CC2D2B			ADRM1	PSME2	CHUK	ANKRD33B	TMEM30B	ITGAM	PNKP	TDRD7		ZNF100	BLOC1S3	TMEM200A		RTN4				ZC3H7A							IL13RA1				MCM6	IL13RA1	MVP	MRPL34													
	CETN4				SRGN	FBXO5	RP11-672L10.6	ACTG2			PSMA7	PSMB2	IL21R	TGFB1I1	KIAA0556	HAVCR1	B4GALT5	TXNIP		SRGAP3	ZNF350	PGLYRP2		CD48				TRAFD1							IRS2				MEIS1	IRS2	MX1	MRPL35													
	CEP290				CDCA7	FAM54A	MAN1A1	AF131217.1			CISD3	HLA-DQA2	RPLP0	PIK3R3	PPP1R3F	PDGFB	PLEC	TRIM5		CHN1	KIR2DL3	SUOX		DSTN				HLA-DRB5							ISG20				MEIS2	ISG20	MX2	MRPS11													
	GMNN				SIRPG	TUBE1	TBKBP1	RP11-367J7.3			CCT8	HLA-DRB3	VAV1	SLC2A8	LRRC8D	TFCP2L1	C2orf76	TRIM26		LOC102723824	CD14	KCNK5		PSME4				RGS3							KDELR3				MKI67	KDELR3	MYD88	MRPS12													
	MKI67				PTTG3P	DNA2	GFI1	CCND2			PSMA6	HLA-DQB2	PPIA	HIST1H3H	C10orf12	LOC388152	JAKMIP2	CASP7		ZFYVE28	PEX16	DIXDC1		FXYD2				SLFN12L							KIF20A				MNAT1	KIF20A	NAMPT	MRPS15													
	CCDC28B				MT1E	MYB	SLC15A4	TGFBR1			TMEM208	HLA-DRB4	PSMD5	OLFM2	TPX2	LOC256021	NME6	CD47		EHBP1L1	RAP2B	KIF14		RPS4X				OAS2							KIF2A				MT2A	KIF2A	NCOA3	MRPS22													
