tcell_activation_GO.0042110	cd4tcell_exhaustion_crawford	tcell_costimulation_chen	cell_anergy_safford	cell_senescence_fridman	tfh_signature_locci	cell_cycling_best	cell_cytotoxicity_patil	treg_signature_simone	tfr_signature_guo	tcell_activation_flu	cd8_activation_covid19	tcr_signaling_RHSA202403	tcell_interleukin_seumois	treg_signature_schmiedle	th2_signature0_arlehamn	th1_signature1_arlehamn	th17_signature2_arlehamndan	type1n2_interferon_broadreact	th2_il9_micosse	trm_lung_clarke	nontrm_lung_clarke	trm_tumor_clarke	nontrm_tumor_clarke	cluster5_sctrm_clarke	cluster2_sctrm_clarke	cluster3_sctrm_clarke	cluster4_sctrm_clarke	dixhaust_consensus1_vj	dixhaust_consensus2_vj	tcell_cytotoxicity_guo	tcell_virusresponse_fuchs	temra_signature1_pereira	temra_signature2_pereira	temra_signature6_pereira	hallmarkglycolisis_signature_gsea	glycolysisgluconeo_signature_kegggsea	early_eff_late_mem_v_key_best	g0n1_signature_dolatabadi	hallmark_g2m_checkpoint	hallmark_glycolysis	hallmark_interferon_gamma_response	hallmark_oxidative_phosphorylation	hallmark_reactive_oxigen_species	initial_cytokine_or_eff_resp_i_key_best	late_eff_or_mem_x_key_best	late_mem_specific_best	mem_precursor_vii_key_best	mem_specific_6_best	naive_late_mem_iv_key_best	naive_or_late_eff_or_mem_viii_key_best	naive_tcm_tem_eff	reactome_interferon_gamma_signaling_biw	short_term_eff_mem_vi_key_best	short_term_eff_or_mem_ix_key_best	st_ifng_biw
CD47	EFNB2	LY9	CASP4	CITED2	ASCL2	SPAG5	GZMB	IKZF2	ICOS	CD69	FARSA	UBA52	NFKBIA	CTLA4	IL17RB	LYAR	MYO1G	OAS3	FANK1	GPR155	LIMD2	RBPJ	SELL	RGCC	NEAT1	HSPE1		CD27	CD27	NKG7	TNFRSF1B	CST7	B2M	GZMB	ALDOA	AKR1A1		HIRA	BIRC5	ALDOA	BST2	AIFM1	GCLC								CD45RO	GBP2			STAT1
CD7	AHNAK	SLAMF3	CCL1	CLTB	CHI3L2	CDC6	NKG7	FANK1	IL21R-AS1	CD82	RNH1	RELA	PSME2	LRRC32	TIGIT	NKG7	CCNG2	EIF2AK2	JUNB	KLRC1	KLRAP1	ENTPD1	GZMK	VIM	KRT86	HSPB1		SNAP47	SNAP47	PRF1	PTPN6	PRF1	KLRD1	HOPX	ALDOB	ALDH1A3		MCM6	BRCA2	ALDOB	BTG1	ALAS1	GCLM								GZMB	GBP4			
CLEC7A	ARHGAP26	BLAME	CCL3	COL1A2	CDK5R1	BIRC5	LGR6	FAM19A2	CD27	CSF2	PSMB1	LAT	NFKB1	HLA-DRB6	HPGDS	CCL4	IL1R1	SAMD9L	HLF	MTRNR2L2	PDGFD	ZNF683	IL7R	NFKBIA	AKAP5	HSPA1B		IGFLR1	IGFLR1		CCT6A	LGALS1	KLRF1	S100A6	ALG1	ALDH1B1		ATF4	BUB1	ALG1	C1R	ALDH6A1	GLRX								PERF	GBP5			
CRTAM	DOCK7	SLAMF7	CCRN4L	CREG1	CEBPA	FIGNL1	PCDH1	COX10	BATF	CYCS	NDUFS8	HLA-DPA1	TNFRSF18	LAYN	TNFSF11	SAMD3	GNA15	EPSTI1	CITED2	PREX1	C1orf21	SPRY1	RASSF3	GPR183	HLA-DQA1	HSPA1A		RAD51	RAD51		CCT3	CD52	HCST	SH3BGRL3	ANG	ALDH2		HIST2HAA3	BUB3	ANG	C1S	ATP1B1	GLRX2									GBP6			
EBI3	RABGAP1L	TNFRSF8	CD40LG	CRYAB	GNG4	HMMR	FRMPD3	RP11-536K7.5	DUSP4	DDX21	FLOT1	PAG1	HSPA8	PRDM1	SLC2A3	TBKBP1	LGALS1	IFITM1	SOCS3	MTRNR2L8	FCGR3A	KLRC2	FGR	FTH1	CXCL13	MRPL18		CCNB1	CCNB1		GHITM	SH3BGRL3	HLA-A	HLA-B	ANGPTL4	ALDH3A1		SUZ12	CASC5	ANGPTL4	CASP1	ATP5A1	GPX3									GBP7			
ELF4	GNAQ	TNFRSF4	CD97	CTGF	CXXC5	BRIP1	RP11-81H14.2	TNFRSF18	SDC4	DUSP2	PDCD5	PAK3	PSMD11	TNFRSF1B	EGR2	DHRS3	LMNA	OAS1	CISH	ARHGEF26-AS1	LGR6	ALOX5AP	FLOT1	ZFP36L2	CHN1	HIST2H2AA3		BUB1	BUB1		EGR2	S100A6	KLRG1	KLRD1	ANKZF1	ALDH3A2		RPS26	CASP8AP2	ANKZF1	CASP3	ATP5B	GPX4									HLA-A			
GLMN	GADD45B	TNFRSF7	CDC14A	CXCL14	GFOD1	PRR11	PTPN3	TNFRSF8	APOBEC3C	EIF4A1	PSMD13	ZAP70	IL2RA	HLA-DRA	BCAT1	GZMH	ANXA2	STAT1	IL22	ITGA1	PLAC8	TOX	PLEK	CD69	TNIP3	C17orf67		SIRPG	SIRPG		MAP2K3	HLA-A	SRGN	CMC1	ARPP19	ALDH3B1		RPS10	CBX1	ARPP19	CASP4	ATP5C1	GSR									HLA-B			
ICOSLG	RGS1	TNFRSF18	CLEC4E	CYP1B1	C3ORF21	TOP2A	FASLG	TULP4	CD177	EIF5A	TIMM13	RPS27A	PSMA7	HPGD	GCNT1	GZMB	KCNN4	SAMD9	PPP1R26	PHLDA1	FEZ1	TNS3	KLF3	IER2	TIGIT	GPR113		SEMA4A	SEMA4A		PSMA4	ITGB1	CD74	HLA-DPB1	ARTN	ALDH3B2		TP53	CCNA2	ARTN	CASP7	ATP5D	HBXIP									HLA-C			
IL12B	ARHGAP18	TNFRSF14	CSF1	EIF2S2	TIGIT	KIF18B	FCGR3A	STAM	GCNT1	ENO1	IL12RB1	CDC34	IRF4	MYL6B	NEK6	LUZP1	LMO4	IFIT1	IL6R	LGALS3	KLRG1	SRGAP3	LINC00861	CXCR4	LYST	TRA2B		CXCR6	CXCR6		RBPJ	PRSS23	GZMM	CST7	AURKA	ALDH7A1		HES1	CCNB2	AURKA	CASP8	ATP5E	HHEX									HLA-DPA1			
IL18	STK39	TNFRSF3	CTSE	ESM1	POU2AF1	RRM2	TRGC2	CSF1	ZBTB32	FABP5	FIBP	PSMB10	UCK2	ZBTB32	C9orf16	CCL5	SOCS2	RNF213	RIMKLB	PLP2	RNF130	CLNK	SORL1	REL	CTSW	TCP1		FUT8	FUT8		HSPA9	HLA-B	ITGB2	S100A10	B3GALT6	ALDH9A1		CDK6	CCND1	B3GALT6	CCL2	ATP5F1	HMOX2									HLA-DPB1			
